PROVINCE,ME,Year,CODE,A_ha,pro_t,Yield_t_ha,data_completeness_ratio,data_quality,total_days_available,expected_days,missing_days,gs_tmax_mean,gs_tmin_mean,gs_tmean_mean,gs_dtr_mean,gs_hum_mean,gs_vpd_mean,gs_prep_total,gs_days,gs_valid_ratio,ngs_tmax_mean,ngs_tmin_mean,ngs_tmean_mean,ngs_dtr_mean,ngs_hum_mean,ngs_vpd_mean,ngs_prep_total,ngs_days,ngs_valid_ratio,planting_day,harvest_day
,,1980,140105,,,,1,excellent,366,366,0,27.9896,14.9592,21.2116,13.0304,65.896,0.87784655,212.4,125,0.341530055,9.321705426,-4.081007752,2.061627907,13.40271318,47.18604651,0.428921587,57.45,129,0.352459016,130,254
,,1981,140105,,,,1,excellent,365,365,0,27.452,15.5116,21.2816,11.9404,68.42,0.807696189,255,125,0.342465753,11.55271318,-2.967054264,3.836046512,14.51976744,40.17054264,0.552154023,44.55,129,0.353424658,130,254
,,1982,140105,,,,1,excellent,365,365,0,27.5256,14.97,21.158,12.5556,67.06,0.852165573,357.55,125,0.342465753,11.69108527,-2.500387597,4.053100775,14.19147287,47.50387597,0.499510995,39.95,129,0.353424658,130,254
,,1983,140105,,,,1,excellent,365,365,0,27.3204,15.3012,20.9976,12.0192,70.616,0.755789531,363.65,125,0.342465753,10.17868217,-4.009302326,2.734496124,14.1879845,45.21705426,0.454455857,50.1,129,0.353424658,130,254
14,小店区,1984,140105,3291.294548,19964.57936,6.065874406,1,excellent,366,366,0,26.9672,15.388,20.8476,11.5792,71.02,0.732273628,251.55,125,0.341530055,8.859689922,-4.763565891,1.669379845,13.62325581,43.27906977,0.43202795,39.5,129,0.352459016,130,254
14,小店区,1985,140105,3029.487028,19081.48849,6.29858729,1,excellent,365,365,0,27.238,15.8588,21.2388,11.3792,72.812,0.712976017,422.75,125,0.342465753,10.00736434,-3.022868217,3.045348837,13.03023256,48.33333333,0.482714891,27.65,129,0.353424658,130,254
14,小店区,1986,140105,3665.305293,23200.8735,6.32986113,1,excellent,365,365,0,28.434,14.7772,21.56,13.6568,64.212,0.950066732,179.5,125,0.342465753,10.75465116,-4.146124031,2.926356589,14.90077519,43.03488372,0.491520792,22.35,129,0.353424658,130,254
14,小店区,1987,140105,4001.914962,21917.90621,5.476854559,1,excellent,365,365,0,28.2816,14.5624,21.3072,13.7192,67.52,0.83953056,275.25,125,0.342465753,11.72674419,-2.57248062,4.023255814,14.29922481,49.68604651,0.472038772,52.25,129,0.353424658,130,254
14,小店区,1988,140105,4154.012665,27396.2862,6.595137862,1,excellent,366,366,0,27.1732,15.8568,21.072,11.3164,74.64,0.635776124,502.1,125,0.341530055,9.592635659,-3.777131783,2.565891473,13.36976744,42.67829457,0.490172088,43.85,129,0.352459016,130,254
14,小店区,1989,140105,3848.570557,28910.26071,7.511947692,1,excellent,365,365,0,27.5408,15.2772,21.064,12.2636,68.168,0.797200115,281.3,125,0.342465753,10.32674419,-2.260077519,3.725581395,12.58682171,54.91860465,0.463318259,40.35,129,0.353424658,130,254
14,小店区,1990,140105,4574.151401,37625.66588,8.22571502,1,excellent,365,365,0,28.3416,15.594,21.8188,12.7476,67.568,0.855192643,266.8,125,0.342465753,9.62751938,-2.536046512,3.168604651,12.16356589,59.85271318,0.365510624,145.55,129,0.353424658,130,254
14,小店区,1991,140105,4738.716128,30950.58078,6.531427488,1,excellent,365,365,0,28.9748,16.0964,22.3264,12.8784,64.952,0.966737182,215.2,125,0.342465753,10.07325581,-2.282945736,3.329457364,12.35620155,57.13953488,0.355489709,118.65,129,0.353424658,130,254
14,小店区,1992,140105,4858.375275,36931.9132,7.601700386,1,excellent,366,366,0,28.1376,15.628,21.5276,12.5096,65.848,0.908459456,278.2,125,0.341530055,11.25620155,-2.648449612,3.838372093,13.90465116,47.5620155,0.502346823,27.3,129,0.352459016,130,254
14,小店区,1993,140105,4645.213442,37961.21118,8.172113434,1,excellent,365,365,0,27.348,15.1336,20.8428,12.2144,67.16,0.842136875,269.15,125,0.342465753,10.80620155,-2.342635659,3.741085271,13.14883721,46.93023256,0.529563346,19.4,129,0.353424658,130,254
14,小店区,1994,140105,5217.423794,45693.37361,8.757842071,1,excellent,365,365,0,29.5424,17.322,22.9932,12.2204,63.108,1.026242872,253.8,125,0.342465753,11.46899225,-1.816666667,4.228682171,13.28565891,46.93023256,0.502005878,82.95,129,0.353424658,130,254
14,小店区,1995,140105,5357.677122,42065.97548,7.851532395,1,excellent,365,365,0,27.894,16.538,21.8364,11.356,66.316,0.90657097,409.5,125,0.342465753,11.7755814,-2.784883721,3.93875969,14.56046512,40.80232558,0.547174262,35,129,0.353424658,130,254
14,小店区,1996,140105,5279.135258,39453.25462,7.47343129,1,excellent,366,366,0,27.2828,16.5072,21.3444,10.7756,70.132,0.768885819,518.3,125,0.341530055,9.377906977,-3.222093023,2.559689922,12.6,40.90697674,0.47194698,51.3,129,0.352459016,130,254
14,小店区,1997,140105,5273.525125,38905.70904,7.377552608,1,excellent,365,365,0,30.2632,17.0876,23.346,13.1756,57.76,1.215437726,136.75,125,0.342465753,11.65310078,-0.610852713,4.913565891,12.26395349,52.18217054,0.454364633,68.45,129,0.353424658,130,254
14,小店区,1998,140105,4840,29206,6.034297521,1,excellent,365,365,0,29.1284,16.8948,22.5332,12.2336,65.204,0.966537668,247,125,0.342465753,12.09108527,-0.278294574,5.351550388,12.36937984,51.40697674,0.504090673,73.85,129,0.353424658,130,254
14,小店区,1999,140105,5400,34845,6.452777778,1,excellent,365,365,0,29.5992,17.7896,23.4192,11.8096,62.012,1.12121189,288.05,125,0.342465753,13.02829457,-0.50503876,5.719767442,13.53333333,39.60465116,0.609670589,14.6,129,0.353424658,130,254
14,小店区,2000,140105,4740,33795,7.129746835,1,excellent,366,366,0,28.8348,17.1348,22.7072,11.7,63.12,1.029068734,276.9,125,0.341530055,11.09534884,-1.882945736,4.222868217,12.97829457,43.06589147,0.599009263,16.95,129,0.352459016,130,254
14,小店区,2001,140105,4420,27490,6.219457014,1,excellent,365,365,0,29.7372,17.0352,23.1484,12.702,59.08,1.188903546,213.75,125,0.342465753,11.85542636,-1.115116279,4.944186047,12.97054264,45.02713178,0.567788084,29.55,129,0.353424658,130,254
14,小店区,2002,140105,4660,33949,7.285193133,1,excellent,365,365,0,28.5348,17.0508,22.4344,11.484,66.144,0.963308363,331.05,125,0.342465753,13.61007752,0.604651163,6.545348837,13.00542636,45.09302326,0.580297303,37.9,129,0.353424658,130,254
14,小店区,2003,140105,4850,40811,8.414639175,1,excellent,365,365,0,27.7124,16.2056,21.6452,11.5068,67.224,0.868315085,278.3,125,0.342465753,10.42984496,-0.787596899,4.211627907,11.21744186,60.87209302,0.391277484,55.6,129,0.353424658,130,254
