Year,CODE,True_Value_Log,Fitted_Value_Log,Residual_Log,True_Value_Original,Fitted_Value_Original,Residual_Original,Standardized_Residual,Absolute_Error_Log,Absolute_Error_Original,Squared_Error_Log,Squared_Error_Original,Leverage,Cooks_Distance,Relative_Error_Original,Percentage_Error_Original
1980,140121,8.748079429499953,8.516495195430204,0.23158423406974826,6298.579618,4996.51123778249,1302.06838021751,0.8352658716290363,0.23158423406974826,1302.06838021751,0.05363125746967195,1695382.06676225,0.023993826983702504,0.00037152864937617126,0.20672412816636876,20.672412816636875
1981,140121,8.705539917202907,8.573471135161306,0.13206878204160155,6036.260141000002,5289.458386262707,746.8017547372947,0.47633875764504646,0.13206878204160155,746.8017547372947,0.017442163189952058,557712.8608787025,0.024573802179652368,0.00012389786056124193,0.12371927937048373,12.371927937048373
1982,140121,8.606657482716939,8.55797483239165,0.04868265032528818,5467.941410000002,5208.123162861204,259.81824713879814,0.17558603037250195,0.04868265032528818,259.81824713879814,0.002370000442694281,67505.5215462776,0.02363623476436116,1.6161562648226733e-05,0.04751664797717685,4.751664797717685
1983,140121,8.568572390853843,8.58711866714373,-0.018546276289887587,5263.610045999998,5362.141281702306,-98.53123570230764,-0.06689173679275724,0.018546276289887587,98.53123570230764,0.00034396436422084645,9708.404409023704,0.024373550119143602,2.4223954654069746e-06,-0.018719326629674054,-1.8719326629674053
1984,140121,8.786997202364438,8.48810473454877,0.2988924678156675,6548.538685999997,4856.652699047605,1691.8859869523922,1.0780296795947537,0.2988924678156675,1691.8859869523922,0.08933670731693982,2862478.1928458703,0.02778211053497838,0.0007221840547705555,0.25836084477433796,25.836084477433797
1985,140121,8.618424830904,8.640766233089389,-0.02234140218538805,5532.664643999996,5657.663252808814,-124.99860880881806,-0.08057979786384208,0.02234140218538805,124.99860880881806,0.0004991382516092618,15624.652204139928,0.025144827622722007,3.6321957890749387e-06,-0.02259284031327928,-2.259284031327928
1986,140121,8.5769384816045,8.422046673989968,0.1548918076145327,5307.830604000005,4546.198526233968,761.6320777660376,0.5586556494877125,0.1548918076145327,761.6320777660376,0.02399147206609741,580083.4218822115,0.025884304903609177,0.0001799916078689608,0.14349215990277991,14.349215990277992
1987,140121,8.530703010855893,8.552942645147517,-0.022239634291624455,5068.007446999999,5181.980743855723,-113.97329685572367,-0.08021274676112021,0.022239634291624455,113.97329685572367,0.0004946013334251984,12989.912396162912,0.02374606286627484,3.3892315023776062e-06,-0.022488778488908897,-2.24887784889089
1988,140121,8.713868621697408,8.74715463639696,-0.03328601469955217,6086.744310000001,6292.757427586343,-206.01311758634165,-0.12005425236635402,0.03328601469955217,206.01311758634165,0.001107958774578803,42441.40461764383,0.027430458936179434,8.83680520557028e-06,-0.03384619216678442,-3.3846192166784417
1989,140121,8.729842943228142,8.548831037892842,0.18101190533529987,6184.756677000001,5160.7182157721945,1024.0384612278067,0.6528642482613289,0.18101190533529987,1024.0384612278067,0.032765309873115565,1048654.770073814,0.025134016121593793,0.00023832317193240899,0.16557457547780688,16.55745754778069
1990,140121,8.773291970969982,8.659163940549382,0.11412803042060027,6459.401665,5762.714675819964,696.6869891800361,0.4116309954755267,0.11412803042060027,696.6869891800361,0.01302520732768546,485372.76089274377,0.024023541434260352,9.034891154418831e-05,0.10785627296642747,10.785627296642748
1991,140121,8.484256957395651,8.671064832406202,-0.18680787501055107,4838.001288000004,5831.705833860794,-993.70454586079,-0.6737688477569755,0.18680787501055107,993.70454586079,0.03489718216595767,987448.7244643988,0.02330094688730615,0.00023443493625353447,-0.20539567617014431,-20.53956761701443
