Year,CODE,True_Value_Log,Fitted_Value_Log,Residual_Log,True_Value_Original,Fitted_Value_Original,Residual_Original,Standardized_Residual,Absolute_Error_Log,Absolute_Error_Original,Squared_Error_Log,Squared_Error_Original,Leverage,Cooks_Distance,Relative_Error_Original,Percentage_Error_Original
1984,140105,8.710433983451262,8.565374235933291,0.1450597475179709,6065.874405999997,5246.803095572514,819.0713104274828,0.43981730809904557,0.1450597475179709,819.0713104274828,0.021042330349977465,670877.8115653938,0.031356020424802726,2.5608438014471383e-05,0.13502938828032884,13.502938828032885
1985,140105,8.748080647551607,8.628110446936246,0.11997020061536112,6298.587289999995,5586.512262095225,712.0750279047697,0.36374646715977316,0.11997020061536112,712.0750279047697,0.014392849035689994,507050.8453655786,0.03134839665862195,1.7511509483857628e-05,0.11305313320580658,11.305313320580659
1986,140105,8.753033576508946,8.352791830741968,0.40024174576697824,6329.861129999997,4242.007192814854,2087.853937185143,1.2135223604348742,0.40024174576697824,2087.853937185143,0.16019345505459845,4359134.063019503,0.031582325410111495,0.00019645366779819253,0.3298419814124965,32.98419814124965
1987,140105,8.608286229565332,8.369968207541165,0.23831802202416696,5476.854558999998,4315.498860196559,1161.3556988034388,0.7225739235839553,0.23831802202416696,1161.3556988034388,0.05679547962151133,1348747.0591432238,0.03162183894872632,6.974412082503559e-05,0.21204793486710505,21.204793486710503
1988,140105,8.794087968951125,8.807001411809258,-0.01291344285813345,6595.137862000001,6680.856065310019,-85.718203310018,-0.03915321633557566,0.01291344285813345,85.718203310018,0.00016675700645027783,7347.61037869758,0.031141510691274292,2.0146506689457702e-07,-0.012997181424199011,-1.2997181424199011
1989,140105,8.92425005760507,8.735332342429293,0.18891771517577638,7511.947692000004,6218.8006302984695,1293.1470617015348,0.5727935031083558,0.18891771517577638,1293.1470617015348,0.03568990310723577,1672229.323187313,0.03098091169060384,4.288165929644711e-05,0.17214537623560625,17.214537623560624
1990,140105,9.015020504377956,8.863241623260695,0.15177888111726112,8225.71502,7067.355355855092,1158.3596641449076,0.46018954300888204,0.15177888111726112,1158.3596641449076,0.023036828753207686,1341797.1115179032,0.030790648764880718,2.7498121445103082e-05,0.14082175972890776,14.082175972890775
1991,140105,8.784380802974155,8.614187733955143,0.1701930690190121,6531.427488000003,5509.271801386495,1022.1556866135079,0.5160208724600435,0.1701930690190121,1022.1556866135079,0.028965680742110218,1044802.2476763318,0.030701731521697834,3.44689789495464e-05,0.15649805321906798,15.649805321906799
1992,140105,8.93612723624948,8.807932453300957,0.1281947829485226,7601.700385999997,6687.079116016564,914.6212699834332,0.3886831827125278,0.1281947829485226,914.6212699834332,0.01643390237521882,836532.0675061082,0.030836418328432872,1.9647492985332434e-05,0.12031798460090394,12.031798460090394
1993,140105,9.008482836653705,8.881745770917025,0.12673706573668042,8172.113433999997,7199.348184078948,972.765249921049,0.38426342277876224,0.12673706573668042,972.765249921049,0.016062283831543653,946272.2314539609,0.03083186504259372,1.920018982492615e-05,0.11903472189628068,11.903472189628069
